Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
sdv-id-gxCvBj,162,RL,63.0,14360,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,TwnhsE,2Story,7,5,1949,1953,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,PConc,TA,TA,Av,GLQ,509,Unf,73,799,398,GasA,Gd,Y,SBrkr,685,899,0,728,0,0,2,0,4,1,Gd,6,Typ,0,,Detchd,1967.0,Fin,2,144,TA,TA,Y,39,16,0,542-89-5213,45,0,,,,3023,6,2006,WD,Alloca,92953
sdv-id-dVpfPA,66,RL,86.0,14885,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,Crawfor,Norm,Norm,1Fam,1Story,4,5,1973,2010,Hip,CompShg,Wd Sdng,VinylSd,,6.0,TA,TA,PConc,Gd,TA,No,ALQ,986,Unf,972,519,1392,GasA,Ex,Y,SBrkr,1218,968,9,1751,1,1,1,0,3,1,TA,7,Typ,1,,Attchd,1958.0,Fin,2,1315,TA,TA,Y,15,126,0,794-66-5163,2,0,,GdWo,,1560,6,2006,WD,Normal,203210
sdv-id-NJmWTR,134,RL,66.0,9908,Grvl,,Reg,Lvl,AllPub,FR2,Gtl,CollgCr,Norm,Norm,TwnhsE,2Story,7,7,2010,2010,Hip,CompShg,VinylSd,VinylSd,BrkFace,130.0,Gd,TA,PConc,,TA,Gd,GLQ,1098,Unf,269,150,1632,GasA,Ex,Y,SBrkr,1676,1260,0,2597,1,1,2,1,2,1,Gd,6,Typ,1,TA,Attchd,2006.0,RFn,2,1418,TA,TA,Y,23,180,0,692-56-9256,127,0,,,,260,3,2007,WD,Abnorml,392372
sdv-id-ztMExL,108,RL,60.0,5864,Pave,,IR1,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,7,5,1999,2008,Gable,CompShg,VinylSd,VinylSd,BrkFace,41.0,TA,TA,PConc,Gd,Fa,Gd,LwQ,116,Unf,476,88,531,GasA,Gd,Y,SBrkr,924,1281,0,1280,0,0,2,0,4,1,Gd,7,Typ,0,,Detchd,2003.0,RFn,2,400,TA,TA,Y,4,114,0,591-12-7266,0,0,,,,5908,9,2008,New,Normal,134682
sdv-id-CLWLTq,46,RL,120.0,13014,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Feedr,Norm,1Fam,1Story,8,6,1986,1973,Gable,CompShg,BrkFace,CmentBd,,19.0,Gd,TA,CBlock,Fa,TA,No,LwQ,649,Unf,856,139,1390,GasW,Gd,Y,SBrkr,1984,62,0,1806,0,0,2,0,3,1,Ex,7,Typ,1,Gd,Attchd,1972.0,Unf,2,763,TA,TA,Y,133,66,0,303-26-6331,0,0,,,,10543,7,2007,WD,Normal,198611
sdv-id-roiJjM,39,RL,66.0,6075,Pave,,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,4,5,1979,1970,Gable,CompShg,VinylSd,Wd Shng,,0.0,TA,TA,CBlock,TA,TA,No,GLQ,304,Unf,1237,14,883,GasA,Gd,Y,SBrkr,1115,23,0,749,1,0,1,0,3,1,TA,6,Typ,1,TA,Attchd,1988.0,Unf,3,207,,TA,Y,410,6,4,819-47-0064,0,0,,GdWo,,8308,9,2009,WD,Normal,107509
sdv-id-ajbfMu,55,RL,,13465,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,5,5,1952,1968,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,BrkTil,Gd,TA,No,GLQ,313,Unf,355,161,466,GasA,TA,Y,SBrkr,716,1777,0,1485,0,0,1,1,3,1,TA,6,Typ,2,TA,Basment,1973.0,Unf,2,446,TA,TA,Y,7,39,0,561-12-5829,0,0,,,,7489,5,2010,WD,Abnorml,135027
sdv-id-BObTCv,94,RL,57.0,14070,Pave,,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,1999,1976,Gable,CompShg,CemntBd,HdBoard,Stone,2.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,306,Rec,96,550,1054,GasA,Ex,Y,SBrkr,1305,685,0,1439,1,0,1,0,3,1,TA,7,Typ,1,TA,Attchd,1963.0,RFn,1,252,TA,TA,Y,309,63,0,488-47-8266,55,0,,,,203,8,2007,WD,Alloca,203394
sdv-id-pySEgy,175,RM,38.0,14374,Pave,,IR1,Bnk,AllPub,Inside,Mod,IDOTRR,Norm,Norm,1Fam,1.5Fin,4,5,1906,1950,Gable,CompShg,CemntBd,CmentBd,,10.0,TA,TA,CBlock,TA,TA,No,Unf,255,Unf,298,3,795,GasA,TA,Y,SBrkr,1121,1492,0,1880,0,0,2,1,3,1,Ex,9,Typ,1,TA,Detchd,1943.0,,1,48,TA,TA,Y,0,52,0,876-53-9387,0,0,,,,1457,10,2009,WD,Normal,123195
sdv-id-vwBOim,170,RL,41.0,5485,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,SLvl,5,5,1974,1983,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,CBlock,TA,TA,No,Rec,301,Unf,186,184,699,GasA,Gd,Y,FuseA,694,1484,0,977,0,0,2,0,3,1,Gd,4,Min1,1,Gd,Detchd,,Unf,2,109,TA,TA,Y,0,59,2,847-41-6992,1,0,,GdPrv,,98,9,2006,WD,Normal,90538
