Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
sdv-id-GZCyfr,48,RL,82.0,10489,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,1934,2010,Hip,CompShg,HdBoard,CmentBd,,1.0,TA,TA,CBlock,TA,TA,Mn,BLQ,1197,Unf,657,32,1424,GasA,Ex,Y,SBrkr,1672,5,9,1085,0,0,1,0,3,1,TA,5,Typ,1,Gd,Attchd,1963.0,Unf,1,240,TA,TA,Y,0,53,0,297-29-5890,21,0,,MnPrv,,6,8,2006,WD,Normal,144771
sdv-id-PcjWgv,86,RL,50.0,5545,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,Gilbert,Norm,Norm,1Fam,1Story,8,7,1989,1994,Gable,CompShg,Wd Sdng,VinylSd,,0.0,Gd,TA,PConc,Ex,TA,No,Unf,291,Unf,839,378,355,GasA,TA,Y,SBrkr,477,1502,0,698,1,0,1,1,3,1,TA,5,Typ,1,,Attchd,1978.0,RFn,2,666,TA,TA,Y,0,153,0,304-62-9547,1,0,,,,7140,1,2007,WD,Normal,105516
sdv-id-SfwDTL,32,RL,77.0,14440,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,8,7,2007,2010,Gable,CompShg,MetalSd,VinylSd,Stone,40.0,Gd,TA,CBlock,TA,TA,Mn,LwQ,2613,Rec,905,724,1962,GasA,Ex,Y,SBrkr,1939,34,0,1818,1,0,3,0,3,1,Gd,7,Typ,1,Gd,Attchd,2003.0,RFn,2,909,TA,TA,Y,9,104,0,283-72-8760,0,0,,,,7938,2,2007,WD,Normal,247214
sdv-id-dVJhsp,138,RL,73.0,11653,Pave,,Reg,Lvl,AllPub,Inside,Mod,Mitchel,Norm,Norm,1Fam,1Story,5,7,1982,1950,Gable,CompShg,Plywood,Plywood,,4.0,TA,TA,PConc,Gd,TA,No,Unf,131,GLQ,954,7,807,GasA,Ex,Y,SBrkr,1213,272,0,1115,0,0,1,0,4,1,TA,5,Typ,1,Gd,BuiltIn,1956.0,RFn,3,156,TA,TA,Y,6,5,5,817-06-9397,0,0,,MnPrv,,2636,11,2008,WD,Normal,86923
sdv-id-KzRwOB,128,RL,68.0,8953,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,RRAn,Norm,1Fam,2Story,4,5,2005,1981,Hip,CompShg,VinylSd,VinylSd,BrkCmn,96.0,TA,TA,PConc,Gd,TA,No,Unf,642,Unf,293,677,1683,GasA,Ex,Y,FuseA,1534,905,15,2507,1,0,2,0,4,1,Ex,9,Typ,1,Gd,Attchd,2004.0,RFn,3,1418,TA,TA,Y,228,137,0,740-60-7743,22,0,,MnPrv,,533,8,2010,New,Normal,317192
sdv-id-yvzaWJ,127,RL,69.0,8143,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NoRidge,PosA,Norm,1Fam,2Story,5,5,1934,1987,Gable,CompShg,WdShing,HdBoard,,1.0,TA,TA,PConc,TA,TA,No,Rec,535,Unf,254,6,488,GasA,Gd,Y,SBrkr,686,1412,1,903,0,0,1,0,3,1,TA,6,Mod,0,,Basment,1946.0,Unf,2,220,TA,TA,Y,0,35,1,237-18-3497,0,0,,MnPrv,,86,9,2008,WD,Normal,65236
sdv-id-FksLVF,95,RL,57.0,9812,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,5,5,2005,1970,Gable,CompShg,VinylSd,VinylSd,,8.0,Gd,TA,BrkTil,Gd,TA,Gd,Rec,492,Unf,634,142,1516,GasA,Ex,Y,SBrkr,1501,982,0,1940,0,0,2,1,3,1,Gd,8,Typ,1,,Attchd,2004.0,RFn,1,526,TA,TA,Y,264,63,0,805-93-7876,4,0,,,Shed,3,3,2010,WD,Normal,369140
sdv-id-TCmgCw,161,RM,68.0,10510,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,TwnhsE,2Story,6,5,2003,1992,Gable,CompShg,VinylSd,VinylSd,BrkFace,62.0,Gd,TA,PConc,Gd,TA,No,Unf,321,Unf,64,637,1507,GasA,TA,Y,FuseF,1374,1086,0,1747,0,0,2,0,3,1,TA,6,Typ,1,TA,Attchd,1990.0,Unf,1,581,TA,TA,Y,38,190,0,570-88-1994,0,0,,,,205,9,2009,WD,Normal,236248
sdv-id-cYRVnk,43,RL,49.0,10224,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,2Story,6,6,1969,1966,Gable,CompShg,MetalSd,HdBoard,Stone,14.0,Gd,TA,BrkTil,Gd,TA,No,Unf,292,Unf,246,433,1351,GasA,Ex,Y,SBrkr,1343,142,0,1023,0,0,1,0,3,1,TA,7,Typ,0,,Attchd,1986.0,Unf,3,659,TA,TA,Y,78,13,0,672-70-6430,0,0,,,,1861,6,2010,WD,Normal,131464
sdv-id-pRXoNo,71,RL,65.0,14933,Grvl,,IR1,Lvl,AllPub,Inside,Mod,Blmngtn,RRAe,Norm,2fmCon,1Story,7,9,1897,1951,Gable,CompShg,MetalSd,HdBoard,,20.0,TA,Gd,CBlock,TA,TA,Gd,Unf,610,Unf,932,30,991,GasA,Gd,N,SBrkr,946,453,0,922,0,0,1,0,3,1,TA,6,Typ,0,,Detchd,1939.0,Unf,2,243,TA,TA,Y,16,21,0,830-70-2389,0,0,,,,8398,3,2010,WD,Normal,84427
sdv-id-zybBsG,116,RL,,6472,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,1Fam,2Story,5,5,1937,1979,Gable,CompShg,VinylSd,MetalSd,,5.0,TA,TA,PConc,TA,TA,No,Unf,579,LwQ,555,648,387,GasA,Ex,Y,SBrkr,692,1265,0,723,1,0,1,0,3,1,TA,5,Typ,1,,Detchd,1974.0,RFn,2,896,TA,TA,Y,0,34,6,050-08-7657,3,0,,GdWo,,5488,8,2009,WD,Normal,120840
sdv-id-YdEGco,102,RM,70.0,5621,Pave,,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,6,7,1954,1999,Gable,CompShg,VinylSd,MetalSd,Stone,17.0,TA,TA,PConc,TA,TA,Mn,Unf,906,Unf,1120,8,1539,GasA,Ex,Y,SBrkr,1244,858,7,1894,0,0,1,0,4,1,Gd,7,Typ,1,,Attchd,1974.0,Fin,1,1046,TA,TA,Y,1,195,0,075-01-7109,0,0,,MnPrv,Shed,7643,6,2009,WD,Normal,346080
sdv-id-NsLiQp,97,RL,45.0,5917,Pave,,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,8,1945,1981,Gable,CompShg,Plywood,AsbShng,,0.0,TA,TA,CBlock,TA,TA,No,ALQ,1182,Unf,593,112,1398,GasA,Ex,Y,SBrkr,1159,39,40,949,1,0,1,0,1,1,TA,5,Typ,0,,Attchd,1966.0,RFn,1,329,TA,TA,Y,0,79,1,784-34-8611,0,0,,,,59,10,2009,WD,Normal,173573
sdv-id-nLjlSI,31,RL,130.0,25679,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,1991,1997,Hip,CompShg,VinylSd,Wd Sdng,,20.0,TA,TA,CBlock,Ex,TA,Gd,ALQ,991,Unf,727,19,1298,GasA,Ex,Y,SBrkr,1445,188,0,1292,1,0,1,0,3,1,Gd,6,Typ,2,Fa,Attchd,1985.0,Unf,3,1036,TA,TA,N,318,34,0,091-76-0762,0,0,,,,1588,10,2008,WD,Normal,253212
sdv-id-EcTqYF,148,RL,78.0,11516,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1.5Fin,5,5,1973,1961,Hip,CompShg,VinylSd,VinylSd,,21.0,TA,TA,CBlock,Gd,TA,No,Unf,476,Unf,617,805,1382,GasA,TA,Y,SBrkr,1298,910,0,1722,1,0,1,0,3,1,TA,7,Typ,1,,BuiltIn,1980.0,Fin,2,1347,TA,TA,Y,0,141,0,232-51-0544,12,0,,,,1895,5,2006,New,Normal,220378
sdv-id-nYdESw,52,RL,52.0,11620,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1.5Fin,8,5,2006,2002,Gable,CompShg,VinylSd,VinylSd,,14.0,Gd,TA,BrkTil,Gd,TA,No,BLQ,67,Unf,457,101,1025,GasA,Ex,Y,FuseA,1188,515,1,1559,1,0,1,0,3,1,Gd,6,Typ,1,TA,Attchd,,RFn,3,1170,TA,TA,Y,5,86,0,708-14-9344,0,0,,,,20,6,2006,WD,Normal,213831
sdv-id-vBBynE,61,RM,,11039,Pave,,IR1,Lvl,AllPub,Inside,Gtl,OldTown,RRAn,Norm,1Fam,1Story,5,4,1989,1963,Gable,CompShg,VinylSd,VinylSd,BrkFace,53.0,TA,TA,PConc,TA,Gd,No,GLQ,803,Unf,651,106,857,GasA,Ex,Y,SBrkr,1029,246,0,878,1,0,1,0,3,1,TA,5,Typ,0,,Attchd,1988.0,RFn,2,669,TA,TA,Y,11,79,0,285-55-0075,45,0,,,,1,5,2010,WD,Normal,167384
